,PLAYER_ID,PLAYER_NAME,TEAM_ID,Team,Age,Season,FGM,FGA,FG%,Distance
111,1629731,Dean Wade,1610612739,CLE,26.0,2022-23,26,37,0.703,0
112,1629028,Deandre Ayton,1610612756,PHX,24.0,2022-23,281,362,0.776,0
113,1627749,Dejounte Murray,1610612737,ATL,26.0,2022-23,169,260,0.65,0
114,1626153,Delon Wright,1610612764,WAS,30.0,2022-23,68,95,0.716,0
115,1630166,Deni Avdija,1610612764,WAS,22.0,2022-23,155,246,0.63,0
116,203471,Dennis Schroder,1610612747,LAL,29.0,2022-23,85,172,0.494,0
117,1628372,Dennis Smith Jr.,1610612766,CHA,25.0,2022-23,114,190,0.6,0
118,1629126,Deonte Burton,1610612758,SAC,29.0,2022-23,0,0,0.0,0
119,1631220,Dereon Seabron,1610612740,NOP,22.0,2022-23,2,3,0.667,0
120,1627884,Derrick Jones Jr.,1610612741,CHI,26.0,2022-23,84,137,0.613,0
121,201565,Derrick Rose,1610612752,NYK,34.0,2022-23,22,45,0.489,0
122,1628401,Derrick White,1610612738,BOS,28.0,2022-23,116,187,0.62,0
123,1630217,Desmond Bane,1610612763,MEM,24.0,2022-23,183,300,0.61,0
124,1626164,Devin Booker,1610612756,PHX,26.0,2022-23,151,230,0.657,0
125,1630170,Devin Vassell,1610612759,SAS,22.0,2022-23,61,102,0.598,0
126,1629653,Devon Dotson,1610612764,WAS,23.0,2022-23,0,0,0.0,0
127,1628984,Devonte' Graham,1610612759,SAS,28.0,2022-23,17,36,0.472,0
128,203473,Dewayne Dedmon,1610612755,PHI,33.0,2022-23,44,70,0.629,0
129,1628415,Dillon Brooks,1610612763,MEM,27.0,2022-23,120,214,0.561,0
130,1627734,Domantas Sabonis,1610612758,SAC,26.0,2022-23,445,642,0.693,0
131,1631230,Dominick Barlow,1610612759,SAS,19.0,2022-23,38,60,0.633,0
132,1628378,Donovan Mitchell,1610612739,CLE,26.0,2022-23,238,360,0.661,0
133,1631495,Donovan Williams,1610612737,ATL,21.0,2022-23,2,2,1.0,0
134,1628978,Donte DiVincenzo,1610612744,GSW,26.0,2022-23,67,108,0.62,0
135,1627827,Dorian Finney-Smith,1610612751,BKN,29.0,2022-23,74,132,0.561,0
136,203926,Doug McDermott,1610612759,SAS,31.0,2022-23,75,123,0.61,0
137,203110,Draymond Green,1610612744,GSW,33.0,2022-23,158,233,0.678,0
138,1629234,Drew Eubanks,1610612757,POR,26.0,2022-23,149,201,0.741,0
139,1630696,Dru Smith,1610612751,BKN,25.0,2022-23,6,12,0.5,0
140,1630613,Duane Washington Jr.,1610612752,NYK,23.0,2022-23,20,51,0.392,0
141,1629130,Duncan Robinson,1610612748,MIA,28.0,2022-23,13,17,0.765,0
142,203939,Dwight Powell,1610612742,DAL,31.0,2022-23,190,250,0.76,0
143,1629685,Dylan Windler,1610612739,CLE,26.0,2022-23,1,1,1.0,0
144,1630700,Dyson Daniels,1610612740,NOP,20.0,2022-23,48,82,0.585,0
145,1628410,Edmond Sumner,1610612751,BKN,27.0,2022-23,73,129,0.566,0
146,201569,Eric Gordon,1610612746,LAC,34.0,2022-23,117,190,0.616,0
147,1630647,Eugene Omoruyi,1610612765,DET,26.0,2022-23,73,119,0.613,0
148,203095,Evan Fournier,1610612752,NYK,30.0,2022-23,8,18,0.444,0
149,1630596,Evan Mobley,1610612739,CLE,21.0,2022-23,362,480,0.754,0
150,1630267,Facundo Campazzo,1610612742,DAL,32.0,2022-23,0,2,0.0,0
151,1628402,Frank Jackson,1610612762,UTA,24.0,2022-23,0,0,0.0,0
152,1626163,Frank Kaminsky,1610612745,HOU,30.0,2022-23,11,16,0.688,0
153,1628373,Frank Ntilikina,1610612742,DAL,24.0,2022-23,14,31,0.452,0
154,1630532,Franz Wagner,1610612753,ORL,21.0,2022-23,302,478,0.632,0
155,1627832,Fred VanVleet,1610612761,TOR,29.0,2022-23,111,216,0.514,0
156,1627788,Furkan Korkmaz,1610612755,PHI,25.0,2022-23,21,34,0.618,0
157,1629216,Gabe Vincent,1610612748,MIA,26.0,2022-23,44,82,0.537,0
158,1628221,Gabe York,1610612754,IND,29.0,2022-23,2,3,0.667,0
159,202066,Garrett Temple,1610612740,NOP,36.0,2022-23,7,15,0.467,0
160,1629726,Garrison Mathews,1610612737,ATL,26.0,2022-23,8,15,0.533,0
161,203914,Gary Harris,1610612753,ORL,28.0,2022-23,34,60,0.567,0
162,1627780,Gary Payton II,1610612744,GSW,30.0,2022-23,26,37,0.703,0
163,1629018,Gary Trent Jr.,1610612761,TOR,24.0,2022-23,95,147,0.646,0
164,201588,George Hill,1610612754,IND,36.0,2022-23,29,41,0.707,0
165,1627777,Georges Niang,1610612755,PHI,29.0,2022-23,47,73,0.644,0
166,203507,Giannis Antetokounmpo,1610612749,MIL,28.0,2022-23,556,778,0.715,0
167,1629048,Goga Bitadze,1610612753,ORL,23.0,2022-23,57,79,0.722,0
168,201609,Goran Dragic,1610612749,MIL,36.0,2022-23,43,77,0.558,0
169,202330,Gordon Hayward,1610612766,CHA,33.0,2022-23,81,111,0.73,0
170,203476,Gorgui Dieng,1610612759,SAS,33.0,2022-23,14,21,0.667,0
171,1629684,Grant Williams,1610612738,BOS,24.0,2022-23,65,105,0.619,0
172,1628960,Grayson Allen,1610612749,MIL,27.0,2022-23,80,134,0.597,0
173,1630535,Greg Brown III,1610612757,POR,21.0,2022-23,10,18,0.556,0
174,1628977,Hamidou Diallo,1610612765,DET,24.0,2022-23,156,221,0.706,0
175,203084,Harrison Barnes,1610612758,SAC,30.0,2022-23,182,280,0.65,0
176,1629312,Haywood Highsmith,1610612748,MIA,26.0,2022-23,44,66,0.667,0
177,1630529,Herbert Jones,1610612740,NOP,24.0,2022-23,160,262,0.611,0
178,1630193,Immanuel Quickley,1610612752,NYK,23.0,2022-23,102,169,0.604,0
179,1630171,Isaac Okoro,1610612739,CLE,22.0,2022-23,101,152,0.664,0
180,1628392,Isaiah Hartenstein,1610612752,NYK,24.0,2022-23,124,203,0.611,0
181,1630543,Isaiah Jackson,1610612754,IND,21.0,2022-23,156,248,0.629,0
182,1630198,Isaiah Joe,1610612760,OKC,23.0,2022-23,27,41,0.659,0
183,1630587,Isaiah Livers,1610612765,DET,24.0,2022-23,26,35,0.743,0
184,1630600,Isaiah Mobley,1610612739,CLE,23.0,2022-23,5,10,0.5,0
185,1629676,Isaiah Roby,1610612752,NYK,25.0,2022-23,34,56,0.607,0
186,1630191,Isaiah Stewart,1610612765,DET,21.0,2022-23,101,185,0.546,0
187,1630225,Isaiah Todd,1610612764,WAS,21.0,2022-23,0,1,0.0,0
188,202397,Ish Smith,1610612743,DEN,34.0,2022-23,16,28,0.571,0
189,1630688,Ish Wainright,1610612756,PHX,28.0,2022-23,23,42,0.548,0
190,1627826,Ivica Zubac,1610612746,LAC,26.0,2022-23,268,405,0.662,0
191,1631120,JD Davison,1610612738,BOS,20.0,2022-23,2,3,0.667,0
192,1630550,JT Thor,1610612766,CHA,20.0,2022-23,32,62,0.516,0
193,1629630,Ja Morant,1610612763,MEM,23.0,2022-23,298,495,0.602,0
194,203210,JaMychal Green,1610612744,GSW,32.0,2022-23,85,118,0.72,0
195,201580,JaVale McGee,1610612742,DAL,35.0,2022-23,63,86,0.733,0
196,1631095,Jabari Smith Jr.,1610612745,HOU,19.0,2022-23,125,198,0.631,0
197,1631133,Jabari Walker,1610612757,POR,20.0,2022-23,53,97,0.546,0
198,1631298,Jack White,1610612743,DEN,25.0,2022-23,5,9,0.556,0
199,1631367,Jacob Gilyard,1610612763,MEM,24.0,2022-23,0,0,0.0,0
200,1630702,Jaden Hardy,1610612742,DAL,20.0,2022-23,66,127,0.52,0
201,1631093,Jaden Ivey,1610612765,DET,21.0,2022-23,183,345,0.53,0
202,1630183,Jaden McDaniels,1610612750,MIN,22.0,2022-23,182,266,0.684,0
203,1630531,Jaden Springer,1610612755,PHI,20.0,2022-23,10,15,0.667,0
204,203109,Jae Crowder,1610612749,MIL,32.0,2022-23,9,11,0.818,0
205,1630256,Jae'Sean Tate,1610612745,HOU,27.0,2022-23,74,140,0.529,0
206,1631222,Jake LaRavia,1610612763,MEM,21.0,2022-23,9,18,0.5,0
207,1627751,Jakob Poeltl,1610612761,TOR,27.0,2022-23,266,362,0.735,0
208,1628973,Jalen Brunson,1610612752,NYK,26.0,2022-23,154,272,0.566,0
209,1631105,Jalen Duren,1610612765,DET,19.0,2022-23,229,326,0.702,0
210,1630224,Jalen Green,1610612745,HOU,21.0,2022-23,234,437,0.535,0
211,1630552,Jalen Johnson,1610612737,ATL,21.0,2022-23,102,152,0.671,0
212,1629667,Jalen McDaniels,1610612755,PHI,25.0,2022-23,149,253,0.589,0
213,1630188,Jalen Smith,1610612754,IND,23.0,2022-23,158,226,0.699,0
214,1630591,Jalen Suggs,1610612753,ORL,21.0,2022-23,81,144,0.563,0
215,1631114,Jalen Williams,1610612760,OKC,22.0,2022-23,255,381,0.669,0
216,1631288,Jamal Cain,1610612748,MIA,24.0,2022-23,24,33,0.727,0
217,1627750,Jamal Murray,1610612743,DEN,26.0,2022-23,148,237,0.624,0
218,1631123,Jamaree Bouyea,1610612764,WAS,23.0,2022-23,3,5,0.6,0
219,1630547,James Bouknight,1610612766,CHA,22.0,2022-23,22,42,0.524,0
220,201935,James Harden,1610612755,PHI,33.0,2022-23,119,207,0.575,0
221,201949,James Johnson,1610612754,IND,36.0,2022-23,13,22,0.591,0
222,1630164,James Wiseman,1610612765,DET,22.0,2022-23,133,189,0.704,0
223,1630215,Jared Butler,1610612760,OKC,22.0,2022-23,5,10,0.5,0
224,1631197,Jared Rhoden,1610612765,DET,23.0,2022-23,8,11,0.727,0
225,1628991,Jaren Jackson Jr.,1610612763,MEM,23.0,2022-23,236,358,0.659,0
226,1629020,Jarred Vanderbilt,1610612747,LAL,24.0,2022-23,191,287,0.666,0
227,1629714,Jarrell Brantley,1610612762,UTA,26.0,2022-23,2,3,0.667,0
228,1628386,Jarrett Allen,1610612739,CLE,25.0,2022-23,317,431,0.735,0
229,1629633,Jarrett Culver,1610612737,ATL,24.0,2022-23,12,22,0.545,0
230,1630554,Jason Preston,1610612746,LAC,23.0,2022-23,5,9,0.556,0
231,1629750,Javonte Green,1610612741,CHI,29.0,2022-23,44,61,0.721,0
232,1629637,Jaxson Hayes,1610612740,NOP,22.0,2022-23,66,93,0.71,0
233,1630643,Jay Huff,1610612764,WAS,25.0,2022-23,8,10,0.8,0
234,1630206,Jay Scrubb,1610612753,ORL,22.0,2022-23,3,4,0.75,0
235,1627759,Jaylen Brown,1610612738,BOS,26.0,2022-23,330,481,0.686,0
236,1629669,Jaylen Nowell,1610612750,MIN,23.0,2022-23,123,208,0.591,0
237,1631119,Jaylin Williams,1610612760,OKC,20.0,2022-23,31,59,0.525,0
238,1628369,Jayson Tatum,1610612738,BOS,25.0,2022-23,357,541,0.66,0
239,1631466,Jeenathan Williams,1610612757,POR,24.0,2022-23,21,29,0.724,0
240,1630288,Jeff Dowtin Jr.,1610612761,TOR,25.0,2022-23,9,15,0.6,0
241,201145,Jeff Green,1610612743,DEN,36.0,2022-23,99,148,0.669,0
242,203924,Jerami Grant,1610612757,POR,29.0,2022-23,198,311,0.637,0
243,1630526,Jeremiah Robinson-Earl,1610612760,OKC,22.0,2022-23,66,118,0.559,0
244,1631110,Jeremy Sochan,1610612759,SAS,19.0,2022-23,149,260,0.573,0
