,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM,Age,Season,FGM,FGA,FG%,Zone
139,1630696,Dru Smith,1610612751,BKN,25.0,2022-23,6,11,0.545,0
140,1630613,Duane Washington Jr.,1610612752,NYK,23.0,2022-23,19,42,0.452,0
141,1629130,Duncan Robinson,1610612748,MIA,28.0,2022-23,12,15,0.8,0
142,203939,Dwight Powell,1610612742,DAL,31.0,2022-23,188,243,0.774,0
143,1629685,Dylan Windler,1610612739,CLE,26.0,2022-23,1,1,1.0,0
144,1630700,Dyson Daniels,1610612740,NOP,20.0,2022-23,45,72,0.625,0
145,1628410,Edmond Sumner,1610612751,BKN,27.0,2022-23,69,115,0.6,0
146,201569,Eric Gordon,1610612746,LAC,34.0,2022-23,97,153,0.634,0
147,1630647,Eugene Omoruyi,1610612765,DET,26.0,2022-23,71,108,0.657,0
148,203095,Evan Fournier,1610612752,NYK,30.0,2022-23,6,14,0.429,0
149,1630596,Evan Mobley,1610612739,CLE,21.0,2022-23,341,439,0.777,0
150,1630267,Facundo Campazzo,1610612742,DAL,32.0,2022-23,0,2,0.0,0
151,1628402,Frank Jackson,1610612762,UTA,24.0,2022-23,0,0,0.0,0
152,1626163,Frank Kaminsky,1610612745,HOU,30.0,2022-23,11,14,0.786,0
153,1628373,Frank Ntilikina,1610612742,DAL,24.0,2022-23,12,27,0.444,0
154,1630532,Franz Wagner,1610612753,ORL,21.0,2022-23,266,407,0.654,0
155,1627832,Fred VanVleet,1610612761,TOR,29.0,2022-23,98,180,0.544,0
156,1627788,Furkan Korkmaz,1610612755,PHI,25.0,2022-23,21,31,0.677,0
157,1629216,Gabe Vincent,1610612748,MIA,26.0,2022-23,36,68,0.529,0
158,1628221,Gabe York,1610612754,IND,29.0,2022-23,2,3,0.667,0
159,202066,Garrett Temple,1610612740,NOP,36.0,2022-23,7,14,0.5,0
160,1629726,Garrison Mathews,1610612737,ATL,26.0,2022-23,7,12,0.583,0
161,203914,Gary Harris,1610612753,ORL,28.0,2022-23,32,53,0.604,0
162,1627780,Gary Payton II,1610612744,GSW,30.0,2022-23,23,34,0.676,0
163,1629018,Gary Trent Jr.,1610612761,TOR,24.0,2022-23,86,133,0.647,0
164,201588,George Hill,1610612754,IND,36.0,2022-23,28,39,0.718,0
165,1627777,Georges Niang,1610612755,PHI,29.0,2022-23,42,62,0.677,0
166,203507,Giannis Antetokounmpo,1610612749,MIL,28.0,2022-23,536,718,0.747,0
167,1629048,Goga Bitadze,1610612753,ORL,23.0,2022-23,54,72,0.75,0
168,201609,Goran Dragic,1610612749,MIL,36.0,2022-23,41,72,0.569,0
169,202330,Gordon Hayward,1610612766,CHA,33.0,2022-23,73,101,0.723,0
170,203476,Gorgui Dieng,1610612759,SAS,33.0,2022-23,14,21,0.667,0
171,1629684,Grant Williams,1610612738,BOS,24.0,2022-23,56,89,0.629,0
172,1628960,Grayson Allen,1610612749,MIL,27.0,2022-23,78,124,0.629,0
173,1630535,Greg Brown III,1610612757,POR,21.0,2022-23,10,16,0.625,0
174,1628977,Hamidou Diallo,1610612765,DET,24.0,2022-23,145,201,0.721,0
175,203084,Harrison Barnes,1610612758,SAC,30.0,2022-23,169,251,0.673,0
176,1629312,Haywood Highsmith,1610612748,MIA,26.0,2022-23,41,60,0.683,0
177,1630529,Herbert Jones,1610612740,NOP,24.0,2022-23,150,235,0.638,0
178,1630193,Immanuel Quickley,1610612752,NYK,23.0,2022-23,94,144,0.653,0
179,1630171,Isaac Okoro,1610612739,CLE,22.0,2022-23,96,145,0.662,0
180,1628392,Isaiah Hartenstein,1610612752,NYK,24.0,2022-23,120,195,0.615,0
181,1630543,Isaiah Jackson,1610612754,IND,21.0,2022-23,148,225,0.658,0
182,1630198,Isaiah Joe,1610612760,OKC,23.0,2022-23,26,38,0.684,0
183,1630587,Isaiah Livers,1610612765,DET,24.0,2022-23,24,31,0.774,0
184,1630600,Isaiah Mobley,1610612739,CLE,23.0,2022-23,5,9,0.556,0
185,1629676,Isaiah Roby,1610612752,NYK,25.0,2022-23,33,51,0.647,0
186,1630191,Isaiah Stewart,1610612765,DET,21.0,2022-23,93,164,0.567,0
187,1630225,Isaiah Todd,1610612764,WAS,21.0,2022-23,0,1,0.0,0
188,202397,Ish Smith,1610612743,DEN,34.0,2022-23,13,23,0.565,0
189,1630688,Ish Wainright,1610612756,PHX,28.0,2022-23,23,40,0.575,0
190,1627826,Ivica Zubac,1610612746,LAC,26.0,2022-23,246,361,0.681,0
191,1631120,JD Davison,1610612738,BOS,20.0,2022-23,1,2,0.5,0
192,1630550,JT Thor,1610612766,CHA,20.0,2022-23,29,55,0.527,0
193,1629630,Ja Morant,1610612763,MEM,23.0,2022-23,269,436,0.617,0
194,203210,JaMychal Green,1610612744,GSW,32.0,2022-23,74,104,0.712,0
195,201580,JaVale McGee,1610612742,DAL,35.0,2022-23,61,82,0.744,0
196,1631095,Jabari Smith Jr.,1610612745,HOU,19.0,2022-23,116,170,0.682,0
197,1631133,Jabari Walker,1610612757,POR,20.0,2022-23,51,89,0.573,0
198,1631298,Jack White,1610612743,DEN,25.0,2022-23,4,8,0.5,0
199,1631367,Jacob Gilyard,1610612763,MEM,24.0,2022-23,0,0,0.0,0
200,1630702,Jaden Hardy,1610612742,DAL,20.0,2022-23,59,110,0.536,0
201,1631093,Jaden Ivey,1610612765,DET,21.0,2022-23,168,307,0.547,0
202,1630183,Jaden McDaniels,1610612750,MIN,22.0,2022-23,176,243,0.724,0
203,1630531,Jaden Springer,1610612755,PHI,20.0,2022-23,10,15,0.667,0
204,203109,Jae Crowder,1610612749,MIL,32.0,2022-23,8,10,0.8,0
205,1630256,Jae'Sean Tate,1610612745,HOU,27.0,2022-23,61,104,0.587,0
206,1631222,Jake LaRavia,1610612763,MEM,21.0,2022-23,9,18,0.5,0
207,1627751,Jakob Poeltl,1610612761,TOR,27.0,2022-23,254,336,0.756,0
208,1628973,Jalen Brunson,1610612752,NYK,26.0,2022-23,138,233,0.592,0
209,1631105,Jalen Duren,1610612765,DET,19.0,2022-23,217,299,0.726,0
210,1630224,Jalen Green,1610612745,HOU,21.0,2022-23,213,386,0.552,0
211,1630552,Jalen Johnson,1610612737,ATL,21.0,2022-23,97,145,0.669,0
212,1629667,Jalen McDaniels,1610612755,PHI,25.0,2022-23,140,235,0.596,0
213,1630188,Jalen Smith,1610612754,IND,23.0,2022-23,151,205,0.737,0
214,1630591,Jalen Suggs,1610612753,ORL,21.0,2022-23,73,123,0.593,0
215,1631114,Jalen Williams,1610612760,OKC,22.0,2022-23,244,347,0.703,0
216,1631288,Jamal Cain,1610612748,MIA,24.0,2022-23,21,29,0.724,0
217,1627750,Jamal Murray,1610612743,DEN,26.0,2022-23,136,208,0.654,0
218,1631123,Jamaree Bouyea,1610612764,WAS,23.0,2022-23,2,3,0.667,0
219,1630547,James Bouknight,1610612766,CHA,22.0,2022-23,22,39,0.564,0
220,201935,James Harden,1610612755,PHI,33.0,2022-23,102,177,0.576,0
221,201949,James Johnson,1610612754,IND,36.0,2022-23,13,22,0.591,0
222,1630164,James Wiseman,1610612765,DET,22.0,2022-23,117,163,0.718,0
223,1630215,Jared Butler,1610612760,OKC,22.0,2022-23,3,8,0.375,0
224,1631197,Jared Rhoden,1610612765,DET,23.0,2022-23,8,11,0.727,0
225,1628991,Jaren Jackson Jr.,1610612763,MEM,23.0,2022-23,204,307,0.664,0
226,1629020,Jarred Vanderbilt,1610612747,LAL,24.0,2022-23,182,266,0.684,0
227,1629714,Jarrell Brantley,1610612762,UTA,26.0,2022-23,2,2,1.0,0
228,1628386,Jarrett Allen,1610612739,CLE,25.0,2022-23,304,404,0.752,0
229,1629633,Jarrett Culver,1610612737,ATL,24.0,2022-23,12,20,0.6,0
230,1630554,Jason Preston,1610612746,LAC,23.0,2022-23,5,8,0.625,0
231,1629750,Javonte Green,1610612741,CHI,29.0,2022-23,42,58,0.724,0
232,1629637,Jaxson Hayes,1610612740,NOP,22.0,2022-23,64,88,0.727,0
233,1630643,Jay Huff,1610612764,WAS,25.0,2022-23,8,10,0.8,0
234,1630206,Jay Scrubb,1610612753,ORL,22.0,2022-23,2,3,0.667,0
235,1627759,Jaylen Brown,1610612738,BOS,26.0,2022-23,306,432,0.708,0
236,1629669,Jaylen Nowell,1610612750,MIN,23.0,2022-23,111,183,0.607,0
237,1631119,Jaylin Williams,1610612760,OKC,20.0,2022-23,30,50,0.6,0
238,1628369,Jayson Tatum,1610612738,BOS,25.0,2022-23,317,455,0.697,0
239,1631466,Jeenathan Williams,1610612757,POR,24.0,2022-23,21,28,0.75,0
240,1630288,Jeff Dowtin Jr.,1610612761,TOR,25.0,2022-23,8,13,0.615,0
241,201145,Jeff Green,1610612743,DEN,36.0,2022-23,88,130,0.677,0
242,203924,Jerami Grant,1610612757,POR,29.0,2022-23,186,286,0.65,0
243,1630526,Jeremiah Robinson-Earl,1610612760,OKC,22.0,2022-23,64,115,0.557,0
244,1631110,Jeremy Sochan,1610612759,SAS,19.0,2022-23,140,225,0.622,0
245,1630579,Jericho Sims,1610612752,NYK,24.0,2022-23,77,93,0.828,0
246,1628975,Jevon Carter,1610612749,MIL,27.0,2022-23,30,62,0.484,0
247,202710,Jimmy Butler,1610612748,MIA,33.0,2022-23,243,360,0.675,0
248,1629111,Jock Landale,1610612756,PHX,27.0,2022-23,111,156,0.712,0
249,203925,Joe Harris,1610612751,BKN,31.0,2022-23,42,62,0.677,0
250,204060,Joe Ingles,1610612749,MIL,35.0,2022-23,16,25,0.64,0
251,1630580,Joe Wieskamp,1610612761,TOR,23.0,2022-23,0,2,0.0,0
252,203954,Joel Embiid,1610612755,PHI,29.0,2022-23,317,422,0.751,0
253,1631219,John Butler Jr.,1610612757,POR,20.0,2022-23,6,9,0.667,0
254,1628381,John Collins,1610612737,ATL,25.0,2022-23,185,245,0.755,0
255,1629723,John Konchar,1610612763,MEM,27.0,2022-23,71,108,0.657,0
256,202322,John Wall,1610612746,LAC,32.0,2022-23,58,97,0.598,0
257,1631098,Johnny Davis,1610612764,WAS,21.0,2022-23,23,34,0.676,0
258,1630548,Johnny Juzang,1610612762,UTA,22.0,2022-23,6,7,0.857,0
259,202685,Jonas Valanciunas,1610612740,NOP,30.0,2022-23,240,347,0.692,0
260,1628371,Jonathan Isaac,1610612753,ORL,25.0,2022-23,10,20,0.5,0
261,1630228,Jonathan Kuminga,1610612744,GSW,20.0,2022-23,143,206,0.694,0
262,203903,Jordan Clarkson,1610612762,UTA,30.0,2022-23,107,171,0.626,0
263,1630692,Jordan Goodwin,1610612764,WAS,24.0,2022-23,58,85,0.682,0
264,1631160,Jordan Hall,1610612759,SAS,21.0,2022-23,3,4,0.75,0
265,1629162,Jordan McLaughlin,1610612750,MIN,27.0,2022-23,20,34,0.588,0
266,1629670,Jordan Nwora,1610612754,IND,24.0,2022-23,66,120,0.55,0
267,1629673,Jordan Poole,1610612744,GSW,23.0,2022-23,175,260,0.673,0
268,1630648,Jordan Schakel,1610612764,WAS,24.0,2022-23,0,0,0.0,0
269,1630631,Jose Alvarado,1610612740,NOP,25.0,2022-23,78,121,0.645,0
270,1630528,Josh Christopher,1610612745,HOU,21.0,2022-23,65,93,0.699,0
271,1630581,Josh Giddey,1610612760,OKC,20.0,2022-23,263,421,0.625,0
272,1630182,Josh Green,1610612742,DAL,22.0,2022-23,99,138,0.717,0
273,1628404,Josh Hart,1610612752,NYK,28.0,2022-23,180,251,0.717,0
274,1631169,Josh Minott,1610612750,MIN,20.0,2022-23,15,22,0.682,0
275,1629006,Josh Okogie,1610612756,PHX,24.0,2022-23,67,129,0.519,0
276,1626196,Josh Richardson,1610612740,NOP,29.0,2022-23,37,60,0.617,0
277,1630563,Joshua Primo,1610612759,SAS,20.0,2022-23,2,4,0.5,0
278,201950,Jrue Holiday,1610612749,MIL,32.0,2022-23,164,240,0.683,0
279,1629308,Juan Toscano-Anderson,1610612762,UTA,30.0,2022-23,38,59,0.644,0
280,1627823,Juancho Hernangomez,1610612761,TOR,27.0,2022-23,28,39,0.718,0
281,1630577,Julian Champagnie,1610612759,SAS,21.0,2022-23,16,28,0.571,0
282,203944,Julius Randle,1610612752,NYK,28.0,2022-23,243,358,0.679,0
283,1630551,Justin Champagnie,1610612738,BOS,21.0,2022-23,2,4,0.5,0
284,203200,Justin Holiday,1610612742,DAL,34.0,2022-23,23,32,0.719,0
285,1628382,Justin Jackson,1610612738,BOS,28.0,2022-23,1,2,0.5,0
286,1631303,Justin Minaya,1610612757,POR,24.0,2022-23,3,6,0.5,0
287,1626159,Justise Winslow,1610612757,POR,27.0,2022-23,48,87,0.552,0
288,203994,Jusuf Nurkic,1610612757,POR,28.0,2022-23,168,269,0.625,0
289,1629644,KZ Okpala,1610612758,SAC,23.0,2022-23,6,8,0.75,0
290,1630539,Kai Jones,1610612766,CHA,22.0,2022-23,53,67,0.791,0
291,1626157,Karl-Anthony Towns,1610612750,MIN,27.0,2022-23,83,109,0.761,0
292,202695,Kawhi Leonard,1610612746,LAC,31.0,2022-23,101,152,0.664,0
293,1631099,Keegan Murray,1610612758,SAC,22.0,2022-23,107,169,0.633,0
294,1628966,Keita Bates-Diop,1610612759,SAS,27.0,2022-23,131,193,0.679,0
295,1629640,Keldon Johnson,1610612759,SAS,23.0,2022-23,236,379,0.623,0
296,203482,Kelly Olynyk,1610612762,UTA,32.0,2022-23,113,162,0.698,0
297,1626162,Kelly Oubre Jr.,1610612766,CHA,27.0,2022-23,151,250,0.604,0
298,202689,Kemba Walker,1610612742,DAL,32.0,2022-23,8,13,0.615,0
299,1631112,Kendall Brown,1610612754,IND,19.0,2022-23,3,3,1.0,0
